"VIDEO","NUMBER_OF_HITS","HIT_INTENSITY","NUMBER_OF_TUG","TOTAL_FRAMES_IN_TUG","NUMBER_OF_JERK_FRAMES","TIME","NUMBER_OF_RINGDROP","VARIANCE","ARC_LENGTH","CURVATURE_MAX_COUNT"
"E5_t9_aug_perturb_X","2","1","1","18","11","15.64","0","0.05756509090700645","3.7964399018483426","2"
"E5_t9_aug_perturb_Y","2","1","1","18","11","15.64","0","0.05807314708114619","3.795194011820145","2"
"E6_t1_aug_perturb_X","3","0","1","2","0","29.0","0","0.02987192503465521","3.59661425724301","12"
"E6_t1_aug_perturb_Y","3","0","1","2","0","29.0","0","0.031540359837063554","3.676032356150294","12"
"E6_t10_aug_perturb_X","1","0","8","12","0","25.0","0","0.042072570120060646","4.394359905784997","4"
"E6_t10_aug_perturb_Y","1","0","8","12","0","25.0","0","0.04329989465661556","4.463469341557773","8"
"E6_t11_aug_perturb_X","3","0","3","44","1","28.56","0","0.04081663141044691","4.797160919657146","8"
"E6_t11_aug_perturb_Y","3","0","3","44","1","28.56","0","0.040433353494415514","4.7733098953118045","10"
"E6_t12_aug_perturb_X","1","0","3","6","1","28.76","0","0.041284840198534775","4.938451689436821","8"
"E6_t12_aug_perturb_Y","1","0","3","6","1","28.76","0","0.0407323582834628","4.773038694389321","11"
"E6_t2_aug_perturb_X","3","0","3","58","3","30.0","0","0.03031136373853867","3.748004516440794","19"
"E6_t2_aug_perturb_Y","3","0","3","58","3","30.0","0","0.03074190348445997","3.7359301435683974","18"
"E6_t3_aug_perturb_X","0","0","2","3","0","21.72","0","0.03945407185861901","3.3494087225554336","11"
"E6_t3_aug_perturb_Y","0","0","2","3","0","21.72","0","0.03967492573257468","3.320621007886308","11"
"E6_t4_aug_perturb_X","3","0","0","0","6","30.6","0","0.04380422998968547","5.4290560193758965","6"
"E6_t4_aug_perturb_Y","3","0","0","0","6","30.6","0","0.045434950316626796","5.529011986773475","9"
"E6_t5_aug_perturb_X","0","0","0","0","1","24.84","0","0.04024046831623399","3.9174261072215204","10"
"E6_t5_aug_perturb_Y","0","0","0","0","1","24.84","0","0.042404611657441145","4.029282239146284","11"
"E6_t6_aug_perturb_X","1","0","0","0","1","22.84","0","0.04270974195958394","4.033475393807934","7"
"E6_t6_aug_perturb_Y","1","0","0","0","1","22.84","0","0.04626379091344085","4.39713384853381","5"
"E6_t7_aug_perturb_X","3","0","8","13","9","37.76","0","0.03435013451681656","5.1820108583950075","21"
"E6_t7_aug_perturb_Y","3","0","8","13","9","37.76","0","0.03336397618873435","5.040547884756521","22"
