"VIDEO","NUMBER_OF_HITS","HIT_INTENSITY","NUMBER_OF_TUG","TOTAL_FRAMES_IN_TUG","NUMBER_OF_JERK_FRAMES","TIME","NUMBER_OF_RINGDROP","VARIANCE_X","VARIANCE_Y","STD_DXDY","STD_DDXDDY","MOTION_SMOOTHNESS","SNAP","ARCLENGTH","CURVATUREMAXCOUNT"
"T8_1_t11_aug_perturb_X","0","0","0","0","2","25.84","0","0.016589655600410598","0.06548796624530086","0.03795397267138471","0.03474102534055282","8.873762951637463","0.8356470852739847","3.9145359023268034","9"
"T8_1_t11_aug_perturb_Y","0","0","0","0","2","25.84","0","0.01654281631064143","0.0667342539671173","0.038453239781992866","0.035389894965959665","9.056634640375973","0.8433252606358609","3.8182169394542513","12"
"T8_1_t11_aug_pertub_X,perturb_Y","0","0","0","0","2","25.84","0","0.01654281631064143","0.0652670362534074","0.03833931829506722","0.03551022275477624","8.884701863742553","0.8450093093127369","3.8935454500559703","12"
"T8_1_t12_aug_perturb_X","1","0","1","23","2","29.92","0","0.07585120636428853","0.09251002229040155","0.039548453041913637","0.03464018325061649","13.03371832452955","0.8945886763121766","4.365395208929874","10"
"T8_1_t12_aug_perturb_Y","1","0","1","23","2","29.92","0","0.07600910814579938","0.09164860457665945","0.04086812106472287","0.039801028984233947","12.890605329738559","1.0580073339019187","4.529880849438098","13"
"T8_1_t12_aug_pertub_X,perturb_Y","1","0","1","23","2","29.92","0","0.07600910814579938","0.09165472955009452","0.040008572104905396","0.03690631403844973","12.842362429633763","0.977462490120935","4.401605494868679","16"
"T8_1_t2_aug_perturb_X","2","0","1","21","0","53.76","0","0.057632265692188094","0.02280238405525638","0.02871108790224851","0.02931529276151599","12.691099864803956","1.0126323164196833","6.0701461074165435","26"
"T8_1_t2_aug_perturb_Y","2","0","1","21","0","53.76","0","0.0585944528087879","0.02256412998111421","0.02897166884642094","0.030148656537631893","12.764587271452559","1.0721709330929532","6.1287467596867815","25"
"T8_1_t2_aug_pertub_X,perturb_Y","2","0","1","21","0","53.76","0","0.0585944528087879","0.02301049826669932","0.028983162121730917","0.030011843187863867","12.791939907005439","1.0650160271604956","6.149788998609687","28"
"T8_1_t3_aug_perturb_X","0","0","0","0","0","29.0","0","0.009479998537640892","0.030254685298527144","0.0676141955661137","0.103729026719899","10.686321659986117","2.918206671229555","5.535653924628775","12"
"T8_1_t3_aug_perturb_Y","0","0","0","0","0","29.0","0","0.009550924790826698","0.02911518600939767","0.06956052169091777","0.10719665785780064","10.487117330382514","2.9717493816156018","5.771815938326755","18"
"T8_1_t3_aug_pertub_X,perturb_Y","0","0","0","0","0","29.0","0","0.009550924790826698","0.02943996927258236","0.06656303051723843","0.10185315186204584","10.502028168619919","2.8573966507162787","5.565844481512045","15"
"T8_1_t4_aug_perturb_X","3","0","1","17","3","32.72","0","0.08500473022466459","0.011608938187282288","0.03655987710230549","0.04643228383436878","11.393632970259624","1.3088392414743064","4.730714389149799","14"
"T8_1_t4_aug_perturb_Y","3","0","1","17","3","32.72","0","0.08594076969964122","0.011858347898342104","0.037938590672660956","0.05096066853929287","11.604179337879524","1.5056758222865523","4.9321339565967195","12"
